File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\TestSQL.sql,47,43,0,0,4,0,0,0,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\components\Product.java,66,48,35,8,9,7,9,43,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\components\ProductBuilder.java,60,42,33,8,9,7,9,40,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\components\User.java,75,38,27,5,20,1,17,43,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\controller\FindAccountController.java,134,96,81,2,28,2,10,21,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\controller\LoginController.java,356,278,213,12,55,0,23,67,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\controller\MainController.java,152,110,87,0,34,0,8,21,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\controller\PlanController.java,154,109,98,0,34,4,11,80,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\controller\ProductAddController.java,205,117,89,2,47,10,41,167,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\controller\ProductController.java,155,103,81,7,29,0,23,77,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\controller\ProductEditController.java,274,158,119,8,64,22,52,267,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\controller\ProductTotalController.java,30,21,14,0,9,0,0,0,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\controller\RegisterController.java,129,93,71,3,29,0,7,38,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\controller\UserController.java,73,47,38,0,17,0,9,33,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\controller\UserEditController.java,106,73,53,0,27,0,6,29,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\main\SystemMain.java,28,22,18,0,6,0,0,0,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\network\Assembleddata.java,82,56,43,6,18,0,8,26,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\network\NetworkService.java,46,25,17,0,10,0,11,65,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\network\request\Login.java,31,17,12,2,7,2,7,18,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\network\request\Signup.java,58,38,27,5,12,0,8,19,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\network\request\Token.java,19,10,7,1,4,0,5,17,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\network\response\Electricusage_permon.java,20,10,7,1,3,0,7,16,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\network\response\ProductList.java,67,45,32,6,14,0,8,21,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\network\response\Product_n.java,40,24,17,3,8,0,8,22,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\network\response\SignupResult.java,30,17,12,2,6,2,7,18,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\network\response\User_f_n.java,77,52,37,7,17,0,8,24,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\simulation\CalculateThirdposition.java,61,42,31,8,5,0,14,64,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\simulation\Calculate_electric_usage.java,72,44,31,7,17,0,11,86,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\simulation\Calculate_fee.java,99,62,47,11,10,0,27,81,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\simulation\Calculate_plan.java,229,204,151,23,10,0,15,74,0,0
C:\Users\Samsung\git\SWE-Team4-EDIETER_Final\src\simulation\Calculate_tem_plan.java,102,70,55,6,9,0,23,107,0,0
